Time [s];Packet ID;MOSI;MISO;
27.591.839.687.499.900;144;0x00;0x80;STATUS
27.591.841.875.000.000;144;0x00;0x20;STATUS
27.591.844.875.000.000;144;0x00;0x91;DST+ACK+nodeid
27.591.873.124.999.900;145;0x94;0x00;drssi
27.591.875.375.000.000;145;0xA1;0x00;drssi
27.591.997.812.500.000;146;0x00;0x80;STATUS
27.591.999.999.999.900;146;0x00;0x20;STATUS
27.592.003.062.500.000;146;0x00;0x51;
27.592.160.187.499.900;147;0x00;0x80;STATUS
27.592.162.375.000.000;147;0x00;0x20;STATUS
27.592.165.375.000.000;147;0x00;0x70;
27.592.316.312.499.900;148;0x00;0x80;STATUS
27.592.318.500.000.000;148;0x00;0x20;STATUS
27.592.321.500.000.000;148;0x00;0x6F;
27.592.472.500.000.000;149;0x00;0x80;STATUS
27.592.474.687.500.000;149;0x00;0x20;STATUS
27.592.477.687.500.000;149;0x00;0x98;
27.592.634.875.000.000;150;0x00;0x80;STATUS
27.592.637.062.500.000;150;0x00;0x20;STATUS
27.592.640.062.499.900;150;0x00;0xE6;
27.592.796.437.499.900;151;0x00;0x80;STATUS
27.592.798.625.000.000;151;0x00;0x60;STATUS
27.592.801.625.000.000;151;0x00;0x82;
27.592.957.500.000.000;152;0x00;0x80;STATUS
27.592.959.687.499.900;152;0x00;0x60;STATUS
27.592.962.687.499.900;152;0x00;0x00;
27.593.117.875.000.000;153;0x00;0x80;STATUS
27.593.120.062.499.900;153;0x00;0x20;STATUS
27.593.123.062.499.900;153;0x00;0x94;
27.593.275.999.999.900;154;0x00;0x80;STATUS
27.593.278.187.500.000;154;0x00;0x20;STATUS
27.593.281.187.500.000;154;0x00;0x40;
27.593.440.437.500.000;155;0x00;0x80;STATUS
27.593.442.625.000.000;155;0x00;0x20;STATUS
27.593.445.625.000.000;155;0x00;0xB4;
27.593.598.687.499.900;156;0x00;0x80;STATUS
27.593.600.875.000.000;156;0x00;0x20;STATUS
27.593.603.874.999.900;156;0x00;0x4D;
27.593.756.875.000.000;157;0x00;0x80;STATUS
27.593.759.062.499.900;157;0x00;0x20;STATUS
27.593.762.062.500.000;157;0x00;0xA5;
27.593.917.312.500.000;158;0x00;0x80;STATUS
27.593.919.499.999.900;158;0x00;0xA0;STATUS
27.593.922.500.000.000;158;0x00;0x87;
27.594.073.312.500.000;159;0x00;0x80;STATUS
27.594.075.499.999.900;159;0x00;0x20;STATUS
27.594.078.499.999.900;159;0x00;0xE7;
27.594.227.312.499.900;160;0x00;0x80;STATUS
27.594.229.500.000.000;160;0x00;0x20;STATUS
27.594.232.500.000.000;160;0x00;0x00;
