Qty;Value;Device;Package;Shop;Price/s;Total;;;;;Parts;Description
2;Antenna Wire;1,6/0,8;1,6/0,8;;;;;;;;ANT, ANT2;THROUGH-HOLE PAD
2;100k;R-EU_R0805;R0805;x; Û 0,06 ; Û 0,12 ;;;;;R2, R17;RESISTOR, European symbol
6;100nf;C-EUC0805;C0805;x; Û 0,06 ; Û 0,36 ;;;;;C2, C3, C4, C8, C10, C11;CAPACITOR, European symbol
4;10K;R-EU_R0805;R0805;x; Û 0,06 ; Û 0,24 ;;;;;R1, R8, R14, R16;RESISTOR, European symbol
4;1N4007;DIODE-DO214BA;DO214BA;Ebay; Û 0,02 ; Û 0,08 ;;;;;D7, D8, D9, D10;DIODE
2;1N4148;DIODESOD-323F;SOD-323F;Dickbest.nl; Û 0,06 ; Û 0,12 ;;;;;D1, D6;Diode
2;1mm, 6x3,3x4,3mm;SWITCH-MOMENTARY-2-SMD-1101NE;TACTILE-SWITCH-1101NE;Dickbest.nl; Û 0,25 ; Û 0,50 ;;;;;S2, S3;Various NO switches- pushbuttons, reed, etc
1;27V;ZENER-DIODEZD-2.5;ZDIO-2.5;Dickbest.nl; Û 0,10 ; Û 0,10 ;;;;;U$6;Z-Diode
2;4.7K;R-EU_R0805;R0805;x; Û 0,06 ; Û 0,12 ;;;;;R6, R15;RESISTOR, European symbol
2;6N139;HCPL0700;SOIC08;Ebay; Û 0,76 ; Û 1,52 ;;;;;OK2, OK4;HEWLETT PACKARD OPTO COUPLER
2;AVR-ISP-6VERT;AVR-ISP-6VERT;AVR-ISP-6;x; Û 0,11 ; Û 0,22 ;;;;;JP3, JP6;AVR ISP-6 Serial Programming Header
4;BATTERY_1236_C;BATTERY_1236_C;BATTERY_1236_C;DX.com; Û 0,12 ; Û 0,48 ;;;;;BATTERY_1, BATTERY_2, BATTERY_3, BATTERY_4;SOC004
2;BSH203;MOSFET-PCHANNEL;SOT23;;; Û -   ;;;;;Q1, Q2;
2;FTDI;MA06-1;MA06-1;x; Û 0,07 ; Û 0,14 ;;;;;FTDI, FTDI2;PIN HEADER
1;MEGA8-AI;AVR-MEGA8-AI;TQFP32-08;Ebay; Û 1,96 ; Û 1,96 ;;;;;IC4;MICROCONTROLLER
1;MEGA8-AI;MEGA8-AI;TQFP32-08@1;Ebay; Û 1,96 ; Û 1,96 ;;;;;IC1;MICROCONTROLLER
2;RFM12B;RFM12B;RFM12B;;; Û -   ;;;;;U$3, U$5;
2;TRIMPOT;TRIMPOT;TRIMPOT-5MM-V2;Dickbest.nl; Û 0,85 ; Û 1,70 ;;;;;R3, R18;"Various small potentiometers for set-and-forget"" applications"""
1;s10k250;VARISTOR-7,5;R-7,5;Dickbest.nl; Û 0,25 ; Û 0,25 ;;;;;R20;VARISTOR
